id,age,prior_experience,education_level,region,treatment,salary
1197,43,5.7,Bachelor's,South,0,58428.63
1198,36,3.6,High School,East,0,37927.3
1199,36,1.8,Master's,North,1,64108.75
1200,38,3.9,High School,West,1,50364.87
1201,22,2.1,High School,East,0,27640.22
1202,35,1.6,Bachelor's,West,1,47920.32
1203,45,0.7,Bachelor's,South,0,37921.75
1204,27,0.0,Bachelor's,South,1,54840.95
1205,46,2.2,High School,North,1,51166.18
1206,39,3.3,High School,South,0,48067.63
1207,38,2.8,Bachelor's,North,1,64688.43
1208,23,2.2,Master's,East,0,48830.44
1209,18,1.1,Master's,West,0,47383.09
1210,22,4.2,Bachelor's,South,1,58593.08
1211,26,0.4,Master's,West,0,42739.66
1212,29,4.6,Bachelor's,West,0,42448.69
1213,43,1.0,Bachelor's,East,1,50912.96
1214,31,1.5,Bachelor's,East,0,36057.56
1215,19,0.1,Bachelor's,South,0,38028.43
1216,34,2.0,Bachelor's,East,0,54570.44
1217,31,5.0,Bachelor's,West,0,50305.15
1218,43,4.0,High School,North,1,53067.64
1219,30,5.0,High School,North,1,59403.77
1220,44,4.0,High School,North,1,53534.31
1221,26,0.8,Bachelor's,South,0,41840.4
1222,43,2.3,High School,East,0,35203.25
1223,42,1.4,High School,East,1,43159.42
1224,32,5.7,Bachelor's,East,0,50183.4
1225,42,0.6,Bachelor's,East,0,44049.49
1226,39,4.8,Bachelor's,West,0,43654.73
1227,32,4.8,Bachelor's,North,0,57213.16
1228,41,6.7,Master's,West,0,57959.23
1229,47,2.2,Master's,South,0,56354.92
1230,28,4.4,Master's,North,0,56504.85
1231,48,7.6,Bachelor's,North,1,64530.57
1232,33,1.8,High School,West,0,38190.64
1233,46,0.0,Master's,South,0,49643.84
1234,34,0.0,High School,South,0,27809.61
1235,43,4.4,High School,North,0,46879.32
1236,21,0.0,Bachelor's,East,0,26574.58
1237,18,2.3,High School,South,0,30163.1
1238,25,3.9,Master's,West,0,63085.92
1239,34,3.4,Bachelor's,South,0,46992.71
1240,20,3.9,Bachelor's,North,0,40241.6
1241,46,3.4,Bachelor's,East,0,44839.41
1242,37,5.6,Bachelor's,South,0,50056.19
1243,32,1.1,High School,North,0,32456.29
1244,32,1.6,Bachelor's,South,0,41084.27
1245,48,1.5,Bachelor's,East,1,53258.7
1246,41,4.7,Bachelor's,West,0,51633.82
1247,39,4.8,Bachelor's,North,1,69201.09
1248,31,3.9,High School,North,1,53830.09
1249,43,5.4,High School,East,0,48389.32
1250,45,0.6,High School,North,1,47757.54
1251,40,6.3,High School,East,1,57059.5
1252,31,6.0,Master's,North,1,66830.04
1253,41,4.5,Master's,East,0,64448.58
1254,19,6.6,High School,South,0,50370.0
1255,30,0.0,Bachelor's,South,0,38696.76
1256,43,2.0,Bachelor's,South,0,40686.66
1257,31,1.5,High School,North,1,41503.9
1258,44,4.4,High School,East,1,57562.49
1259,41,0.9,Master's,East,0,52622.43
1260,36,4.5,Bachelor's,West,0,55464.09
1261,24,5.7,Master's,South,1,76188.02
1262,20,4.4,High School,West,0,46016.37
1263,32,3.6,Bachelor's,South,0,49360.12
1264,40,1.0,High School,West,0,32195.86
1265,31,1.3,High School,South,0,39970.51
1266,28,5.5,Bachelor's,East,1,62629.11
1267,32,4.6,High School,South,0,45525.99
1268,45,2.9,High School,North,0,34745.82
1269,30,2.2,High School,South,0,33196.05
1270,35,0.0,High School,South,0,28819.23
1271,43,0.9,Bachelor's,East,1,46555.19
1272,23,6.8,Bachelor's,North,1,72457.77
1273,20,0.4,High School,East,0,24577.1
1274,36,3.4,High School,West,0,40633.03
1275,32,5.0,High School,West,0,45707.2
1276,49,0.5,Bachelor's,North,0,30416.47
1277,42,3.4,High School,West,1,47903.14
1278,40,4.9,Bachelor's,North,1,63905.99
1279,22,3.0,High School,South,0,41218.64
1280,45,8.7,High School,West,1,65188.88
1281,27,0.0,Master's,South,1,58384.44
1282,24,5.1,Bachelor's,East,0,52805.79
1283,42,2.7,High School,West,0,38031.45
1284,34,4.5,Master's,East,1,69889.79
1285,24,3.9,Bachelor's,East,1,64282.84
1286,39,1.5,Master's,North,1,56222.47
1287,43,3.5,Bachelor's,East,1,55939.87
1288,47,0.0,Bachelor's,North,1,44655.52
1289,29,4.2,Master's,North,0,55958.5
1290,42,3.6,High School,North,0,47920.12
1291,34,4.3,Bachelor's,North,1,63695.59
1292,30,5.1,Bachelor's,North,0,47693.26
1293,37,3.7,High School,South,0,38203.48
1294,42,3.3,High School,North,0,41752.37
1295,21,1.2,High School,West,0,29181.05
1296,27,1.6,Bachelor's,North,0,39099.98
1297,20,5.4,Bachelor's,South,1,70845.21
1298,26,5.9,Bachelor's,West,0,52551.13
1299,30,2.5,High School,West,0,42344.67
1300,35,3.1,Bachelor's,South,0,53552.63
1301,32,1.2,Master's,West,0,44905.0
1302,21,5.3,High School,South,0,41586.73
1303,32,4.3,Bachelor's,East,0,49611.84
1304,39,6.9,Bachelor's,East,0,53204.17
1305,19,1.2,Bachelor's,North,0,42335.23
1306,32,2.2,Bachelor's,North,1,53703.69
1307,25,3.5,Master's,North,1,67191.58
1308,25,4.3,High School,North,1,59863.65
1309,34,2.6,Master's,South,1,66793.42
1310,29,1.3,High School,East,0,36208.43
1311,36,4.8,High School,South,1,44458.2
1312,27,4.4,High School,West,1,55543.69
1313,26,1.2,Bachelor's,West,0,50115.49
1314,22,5.7,Bachelor's,West,0,40080.04
1315,23,5.3,High School,West,0,49468.1
1316,37,3.3,High School,West,1,49008.99
1317,43,3.2,Master's,East,1,60228.61
1318,49,4.1,Master's,South,0,61329.99
1319,19,1.3,Bachelor's,West,0,50378.31
1320,44,3.1,Bachelor's,North,0,51056.34
1321,41,0.0,Bachelor's,East,1,46144.04
1322,44,4.8,High School,North,1,49541.38
1323,30,0.0,Master's,East,1,55723.14
1324,23,6.0,High School,East,1,62386.37
1325,22,2.3,Bachelor's,North,0,43084.01
1326,42,2.6,High School,North,0,36278.08
1327,18,1.7,Bachelor's,West,0,57343.6
1328,38,2.4,Bachelor's,North,0,50665.03
1329,39,5.8,Bachelor's,South,1,71261.83
1330,38,0.0,High School,East,0,22698.57
1331,23,5.6,Bachelor's,East,0,51125.85
1332,23,3.7,High School,West,0,41401.55
1333,40,0.6,High School,East,0,26752.18
1334,33,0.8,High School,North,0,40550.11
1335,21,6.4,Bachelor's,East,0,64109.92
1336,47,1.1,Bachelor's,East,0,38659.23
1337,28,0.7,Bachelor's,North,0,48999.49
1338,47,5.3,Bachelor's,North,1,63802.63
1339,47,3.7,Bachelor's,East,0,61978.27
1340,47,1.1,Bachelor's,South,1,52095.88
1341,48,3.4,High School,North,1,53180.71
1342,41,0.9,High School,South,0,39845.0
1343,40,5.2,Bachelor's,South,0,59993.1
1344,26,5.1,Bachelor's,West,0,55921.89
1345,40,4.1,Master's,South,1,66486.34
1346,20,3.7,Master's,West,0,58740.63
1347,36,6.5,High School,South,0,45486.21
1348,48,3.0,High School,West,1,49758.79
1349,25,0.6,Bachelor's,North,0,34362.22
1350,22,3.9,High School,East,0,32792.44
1351,21,7.2,High School,East,0,51768.42
1352,41,1.0,Master's,West,0,54222.83
1353,48,2.3,High School,North,0,41460.25
1354,23,3.8,Master's,West,0,56089.11
1355,19,2.9,Bachelor's,West,0,55411.52
1356,37,1.0,Bachelor's,North,1,48260.87
1357,45,5.2,High School,South,1,46141.98
1358,28,7.6,High School,South,0,42009.74
1359,21,3.4,Bachelor's,North,1,52270.83
1360,32,1.2,High School,West,0,37658.71
1361,23,0.0,High School,East,0,26825.99
1362,39,3.5,High School,West,1,52852.65
1363,34,5.2,High School,South,0,53854.68
1364,47,4.0,High School,North,1,46350.52
1365,41,3.0,Bachelor's,North,1,59378.08
1366,23,1.8,High School,North,0,38159.19
1367,36,0.8,High School,South,1,38143.33
1368,47,4.7,Bachelor's,West,1,68779.56
1369,42,4.8,Master's,North,1,68044.09
1370,19,0.0,High School,East,0,28081.24
1371,32,6.2,High School,North,0,59097.1
1372,28,4.1,Bachelor's,West,0,53058.26
1373,25,5.8,Master's,South,1,77024.02
1374,43,0.3,Bachelor's,East,0,45721.7
1375,36,0.3,Bachelor's,East,0,35552.69
1376,30,2.7,High School,North,0,44355.29
1377,29,4.0,Bachelor's,West,1,57507.24
1378,22,6.6,High School,North,0,47055.05
1379,23,4.4,Bachelor's,East,0,49876.47
1380,43,2.5,Bachelor's,North,0,42433.59
1381,39,0.9,Master's,West,0,51952.57
1382,21,5.5,High School,South,1,57716.06
1383,36,1.1,High School,East,0,30755.65
1384,37,6.3,Bachelor's,West,0,60143.34
1385,18,2.4,Bachelor's,North,0,43917.78
1386,37,6.2,Bachelor's,East,1,64903.14
1387,34,4.4,High School,North,0,43317.01
1388,29,2.7,High School,North,0,40495.33
1389,32,2.0,Bachelor's,South,0,45832.86
1390,18,2.3,High School,North,0,35138.31
1391,43,3.9,Master's,North,1,70805.46
1392,31,3.2,Bachelor's,West,0,46350.97
1393,49,1.8,Bachelor's,North,1,50162.21
1394,23,2.7,Bachelor's,South,0,38666.1
1395,22,3.2,Bachelor's,North,1,62387.35
1396,47,0.0,High School,North,0,30061.95
1397,28,3.9,Master's,North,1,67803.37
1398,48,1.0,High School,East,0,38350.69
1399,21,0.7,Bachelor's,South,0,37692.97
1400,30,0.0,High School,East,0,23128.0
1401,28,0.0,Bachelor's,South,0,38348.9
1402,20,0.3,High School,South,1,42407.12
1403,18,1.6,High School,West,0,33431.63
1404,23,6.9,Master's,East,1,83088.24
1405,35,1.9,High School,South,1,33413.89
1406,41,3.4,Bachelor's,South,0,53666.78
1407,27,3.8,Master's,West,1,70358.66
1408,22,3.3,High School,East,0,42070.25
1409,40,2.8,Bachelor's,North,1,39855.83
1410,27,0.6,High School,West,0,38247.68
1411,29,5.9,High School,South,1,52573.39
1412,19,6.6,Bachelor's,East,1,65304.72
1413,30,0.0,Master's,South,0,44147.04
1414,25,1.0,High School,West,0,34892.92
1415,19,2.4,Bachelor's,West,1,58518.28
1416,37,1.1,Bachelor's,East,0,45676.98
1417,18,4.0,Master's,West,1,71115.06
1418,48,1.5,High School,West,0,35895.0
1419,22,7.3,Bachelor's,North,1,72069.95
1420,26,5.4,Bachelor's,South,0,48689.52
1421,34,3.4,Bachelor's,North,0,44520.31
1422,26,5.1,Master's,North,1,74639.22
1423,28,5.2,Master's,East,1,74821.45
1424,32,1.9,High School,West,0,39235.31
1425,41,1.4,Bachelor's,South,0,39530.61
1426,23,3.2,High School,South,1,54021.32
1427,40,4.7,High School,South,0,38363.59
1428,20,3.3,Bachelor's,West,1,63221.16
1429,47,0.0,High School,South,0,28695.65
1430,48,1.4,Bachelor's,South,1,60603.91
1431,34,2.9,Master's,West,1,55948.95
1432,22,2.8,High School,East,0,47363.03
1433,47,6.9,Master's,South,0,64027.93
1434,45,0.2,Bachelor's,West,1,46786.68
1435,29,4.0,Bachelor's,North,0,51007.73
1436,35,6.0,Master's,West,1,69449.28
1437,31,7.5,High School,North,1,62267.05
1438,38,2.2,Bachelor's,West,1,50885.48
1439,41,4.0,Bachelor's,South,0,46443.26
1440,28,4.1,High School,East,0,44852.99
1441,26,3.4,Master's,East,1,60665.06
1442,19,2.8,Master's,South,1,59565.96
1443,29,3.9,High School,North,0,34751.9
1444,20,0.0,High School,West,0,27480.35
1445,20,4.4,Bachelor's,South,1,67650.43
1446,18,3.3,High School,West,0,35527.4
1447,25,2.6,Bachelor's,South,0,42006.98
1448,49,7.1,High School,South,1,62250.78
1449,39,1.7,Bachelor's,West,1,51096.41
1450,45,2.2,High School,East,0,47722.32
1451,49,7.0,High School,East,1,60136.68
1452,46,1.3,Bachelor's,North,1,53683.72
1453,25,1.9,Bachelor's,West,1,58418.15
1454,28,2.7,Master's,North,1,67740.74
1455,26,4.7,Master's,South,1,70210.84
1456,22,3.4,High School,North,0,39441.18
1457,31,0.4,High School,South,0,41364.39
1458,45,1.9,Master's,West,1,60308.19
1459,47,1.8,Master's,West,1,58147.42
1460,20,2.8,Master's,West,0,50307.43
1461,38,3.9,High School,West,0,32921.05
1462,22,3.8,Master's,North,1,70617.31
1463,22,0.0,High School,South,1,28259.66
1464,36,5.1,Bachelor's,East,1,63355.03
1465,44,3.5,Master's,West,1,64491.11
1466,31,5.8,High School,West,1,68507.02
1467,43,3.9,Master's,South,1,57506.93
1468,47,5.2,High School,East,0,41102.42
1469,21,3.9,Master's,West,0,56118.79
1470,42,5.7,High School,East,0,46089.71
1471,30,4.0,Master's,West,1,64385.78
1472,27,2.8,High School,North,0,38007.57
1473,42,7.5,Bachelor's,North,1,64336.79
1474,35,4.8,Bachelor's,East,1,64120.19
1475,25,4.1,Bachelor's,South,1,48835.04
1476,25,0.4,High School,South,0,31213.33
1477,24,0.4,Bachelor's,North,1,46268.37
1478,25,3.6,High School,South,0,45837.73
1479,31,3.3,Bachelor's,South,1,66649.68
1480,49,1.8,High School,South,0,33660.0
1481,36,3.3,Master's,East,0,61799.53
1482,46,6.2,High School,East,1,56951.18
1483,23,4.4,High School,South,0,38341.78
1484,18,0.7,High School,North,0,40883.47
1485,40,2.8,Bachelor's,South,0,48934.83
1486,48,1.4,High School,West,0,34192.39
1487,32,2.2,Bachelor's,North,0,48109.69
1488,18,2.2,Master's,East,0,52889.38
1489,42,2.0,Bachelor's,West,0,43788.03
1490,34,0.5,Bachelor's,South,0,32837.01
1491,18,2.7,High School,South,0,36881.39
1492,32,1.9,Bachelor's,North,0,46752.63
1493,40,0.0,High School,North,0,29386.14
1494,19,7.1,Bachelor's,South,1,73829.46
1495,31,5.2,High School,South,0,47450.89
1496,38,2.2,Bachelor's,North,0,40351.51
1497,25,3.0,High School,West,1,42517.05
1498,25,0.7,Master's,East,1,56184.18
1499,36,6.4,High School,North,0,46553.2
1500,24,6.8,Bachelor's,West,1,70065.34
1501,36,3.3,High School,South,1,46349.47
1502,23,5.0,Bachelor's,East,1,60064.22
1503,23,3.4,Master's,West,0,60317.07
1504,20,0.3,Bachelor's,East,0,39720.66
1505,24,2.2,Bachelor's,East,0,41015.42
1506,36,3.3,Master's,East,1,64879.78
1507,25,2.1,Bachelor's,West,0,51167.27
1508,27,2.6,Bachelor's,West,1,57157.01
1509,49,2.8,Bachelor's,South,1,59416.36
1510,37,2.8,Bachelor's,East,1,52753.56
1511,32,3.1,High School,North,0,44445.65
1512,32,0.9,Master's,North,0,59226.88
1513,46,1.6,Bachelor's,North,0,38740.56
1514,18,0.4,High School,West,1,35383.02
1515,37,5.0,Bachelor's,South,0,53744.6
1516,47,0.0,High School,West,0,34377.53
1517,24,5.3,High School,East,0,45464.59
1518,44,5.8,Bachelor's,North,1,60052.06
1519,21,2.4,Master's,West,0,51644.0
1520,46,0.0,Master's,North,0,47990.46
1521,23,2.3,Master's,West,1,59796.98
1522,42,2.9,Master's,North,1,66651.17
1523,18,1.0,High School,East,1,48759.96
1524,46,2.0,High School,North,0,37109.84
1525,22,6.1,Master's,East,1,73041.43
1526,44,4.3,High School,East,0,47136.28
1527,40,1.2,Bachelor's,West,0,37172.11
1528,18,0.0,Bachelor's,West,0,33226.45
1529,47,2.3,High School,West,0,35705.03
1530,21,2.6,Master's,East,0,50259.86
1531,39,4.0,Bachelor's,South,1,55960.49
1532,19,1.9,Bachelor's,South,0,52940.44
1533,27,4.0,Master's,East,0,67928.96
1534,22,6.9,Bachelor's,East,1,66842.4
1535,44,4.6,High School,West,0,44351.6
1536,27,2.9,Bachelor's,West,0,45772.25
1537,18,2.6,Master's,West,1,68438.59
1538,39,2.3,Bachelor's,South,0,51388.19
1539,23,5.4,Bachelor's,South,1,55197.53
1540,30,1.7,Bachelor's,East,1,55616.17
1541,48,3.1,High School,South,0,32737.23
1542,32,3.1,Master's,West,0,63098.55
1543,21,2.0,Master's,West,0,53190.53
1544,30,0.3,High School,West,0,26648.46
1545,41,3.6,High School,West,0,39731.24
1546,37,2.9,Master's,West,1,62189.09
1547,41,4.0,Master's,North,0,59627.01
1548,32,1.9,Master's,East,1,66007.96
1549,46,5.4,Master's,East,1,65583.89
1550,25,1.2,Bachelor's,South,1,60933.13
1551,22,6.4,Bachelor's,West,0,65300.69
1552,46,0.0,Bachelor's,North,0,33623.38
1553,32,3.9,High School,West,0,41972.63
1554,21,4.0,Bachelor's,West,1,68406.63
1555,29,1.4,Bachelor's,South,0,48391.25
1556,30,3.8,Bachelor's,North,1,57862.65
1557,19,5.6,Bachelor's,North,1,68748.81
1558,44,0.0,Bachelor's,East,0,52985.99
1559,48,4.0,High School,West,0,42542.27
1560,36,0.0,High School,North,0,26836.76
1561,36,1.1,High School,East,1,44068.11
1562,21,6.3,High School,North,1,60007.76
1563,21,1.8,Master's,West,0,47886.62
1564,43,0.7,High School,East,1,44164.85
1565,28,2.6,High School,North,0,31540.37
1566,44,7.1,Bachelor's,South,1,66079.77
1567,22,0.0,Bachelor's,North,0,41791.22
1568,37,0.9,High School,West,0,23917.79
1569,28,6.0,Bachelor's,South,1,70500.43
1570,47,6.7,Bachelor's,North,1,58086.31
1571,27,2.8,High School,North,0,29722.79
1572,25,0.5,High School,East,1,39070.79
1573,23,7.2,Master's,West,1,78009.38
1574,23,6.2,Master's,North,1,80192.97
1575,25,4.4,Bachelor's,North,1,61361.8
1576,40,1.4,High School,North,1,42892.82
1577,32,2.9,Bachelor's,West,0,49603.73
1578,43,2.7,Bachelor's,South,1,51683.35
1579,31,3.7,High School,West,0,41682.18
1580,28,5.9,Bachelor's,East,0,49708.78
1581,29,4.8,Bachelor's,East,0,52689.45
1582,43,0.8,High School,West,0,31886.56
1583,30,5.8,Bachelor's,North,1,61237.64
1584,25,3.6,Master's,North,0,56704.0
1585,47,4.4,High School,South,0,43915.14
1586,35,5.9,Master's,West,1,78676.52
1587,42,0.8,High School,West,0,24302.35
1588,18,2.9,Master's,North,0,53404.8
1589,32,1.9,High School,East,1,42009.96
1590,25,0.0,High School,East,0,34348.81
1591,45,3.7,Bachelor's,South,1,62849.82
1592,28,8.0,Bachelor's,South,1,74608.74
1593,29,0.0,Master's,East,1,51480.83
1594,29,2.9,High School,West,1,53233.67
1595,21,4.3,High School,South,1,45192.6
1596,33,3.2,Bachelor's,North,0,39061.92
1597,21,2.8,Bachelor's,West,1,49941.88
1598,22,0.4,High School,North,1,41037.33
1599,41,3.5,Bachelor's,South,1,61772.54
1600,22,1.5,Bachelor's,East,0,27579.25
1601,25,0.0,Master's,South,1,61613.71
1602,48,5.4,Master's,East,1,71823.11
1603,27,4.9,High School,West,0,36911.45
1604,34,3.1,Bachelor's,South,0,47814.7
1605,45,3.5,High School,South,0,45837.08
1606,48,5.1,Bachelor's,South,0,56443.11
1607,43,3.4,Bachelor's,West,0,53841.4
1608,26,4.8,Master's,North,1,62592.87
1609,39,2.4,Bachelor's,North,1,53145.08
1610,36,5.6,Master's,East,1,67248.44
1611,46,3.6,Master's,South,1,74512.62
1612,31,3.4,Master's,North,1,68361.13
1613,25,0.5,Master's,West,1,70614.68
1614,26,3.6,Bachelor's,South,1,56383.69
1615,39,1.3,High School,East,0,30384.9
1616,28,1.7,High School,North,1,44456.17
1617,40,1.4,High School,West,0,40999.53
1618,18,0.9,Bachelor's,West,1,48771.99
1619,31,7.2,Bachelor's,East,1,70370.82
1620,22,5.7,Bachelor's,North,1,65471.49
1621,38,6.8,Master's,South,1,75719.69
1622,43,0.6,Master's,West,0,43400.64
1623,31,3.1,High School,East,0,38741.07
1624,21,0.4,High School,West,1,40338.44
1625,39,1.6,Bachelor's,West,1,52788.01
1626,40,1.2,High School,North,0,38208.82
1627,42,5.5,Bachelor's,North,1,73240.64
1628,18,2.2,Bachelor's,South,0,40420.45
1629,48,5.1,Bachelor's,West,1,61450.31
1630,39,4.2,Master's,East,0,53499.67
1631,40,7.6,Master's,West,1,78757.34
1632,36,0.0,High School,East,0,27431.59
1633,25,5.5,Bachelor's,West,1,65754.38
1634,32,5.3,Bachelor's,East,1,69396.78
1635,38,1.1,High School,West,0,20530.57
1636,32,5.0,High School,West,0,47501.7
1637,26,3.7,Bachelor's,South,0,46715.93
1638,38,2.5,High School,North,1,49937.25
1639,26,1.4,High School,North,0,29574.04
1640,27,1.6,Bachelor's,East,0,48666.65
1641,37,7.1,Bachelor's,West,0,63865.28
1642,42,3.0,High School,West,0,41845.86
1643,38,4.6,High School,North,1,57658.91
1644,43,1.4,Master's,East,0,45526.5
1645,26,1.4,High School,South,0,31222.76
1646,20,5.2,Master's,South,0,64254.09
1647,48,0.3,Bachelor's,South,1,45063.9
1648,37,2.2,High School,West,0,43736.89
1649,42,3.1,High School,East,0,37586.21
1650,43,3.2,High School,North,1,52177.71
1651,28,2.6,High School,West,0,48421.69
1652,23,3.8,High School,West,0,37843.8
1653,19,4.4,Bachelor's,South,0,51500.94
1654,24,4.5,High School,East,1,58678.74
1655,35,1.0,Bachelor's,East,1,55841.56
1656,44,2.4,Bachelor's,South,1,53655.99
1657,19,5.4,High School,South,1,53584.92
1658,44,4.8,High School,South,1,53202.2
1659,34,0.3,High School,West,0,38002.13
1660,49,3.7,High School,West,0,39713.35
1661,28,0.0,Bachelor's,West,0,38390.58
1662,44,3.1,High School,North,1,47147.68
1663,29,6.8,Bachelor's,North,0,61914.34
1664,44,1.1,Bachelor's,East,0,42090.27
1665,36,1.3,Bachelor's,South,0,36976.89
1666,39,4.5,Bachelor's,South,0,46740.06
1667,41,0.0,Bachelor's,West,0,28006.97
1668,42,1.7,High School,North,0,31046.86
1669,24,4.2,High School,South,1,56548.38
1670,37,1.7,Bachelor's,East,1,59813.09
1671,23,2.5,High School,South,1,51011.97
1672,38,4.5,Bachelor's,West,0,54238.28
1673,41,3.8,Bachelor's,West,0,48896.65
1674,18,3.5,Bachelor's,North,1,62475.48
1675,34,2.3,Bachelor's,East,0,46396.66
1676,46,3.7,Bachelor's,East,1,68242.61
1677,48,2.8,Bachelor's,South,0,45765.38
1678,28,3.9,Bachelor's,East,0,56461.87
1679,39,2.0,Bachelor's,South,0,48388.98
1680,43,2.6,Bachelor's,South,0,49581.8
1681,45,1.0,Master's,North,1,48002.8
1682,35,2.9,Bachelor's,East,1,61435.9
1683,38,1.4,Bachelor's,West,1,51496.45
1684,34,0.8,Bachelor's,South,1,48096.09
1685,24,3.5,Bachelor's,South,0,41137.4
1686,34,3.4,High School,South,1,50248.5
1687,37,4.6,Master's,East,0,58865.0
1688,26,2.1,High School,East,1,39898.24
1689,34,3.8,Bachelor's,East,0,42081.92
1690,37,4.1,Bachelor's,South,0,52737.88
1691,39,3.9,Master's,West,0,61027.17
1692,39,1.3,High School,West,0,34997.49
1693,45,3.3,Bachelor's,East,1,63650.35
1694,48,3.7,Bachelor's,West,1,58752.92
1695,46,3.0,High School,South,0,38771.31
1696,25,0.0,High School,East,0,25414.86
1697,34,3.3,Bachelor's,East,1,50161.73
1698,24,7.4,Bachelor's,South,1,79548.5
1699,18,2.3,High School,East,0,42496.26
1700,49,1.5,Bachelor's,South,1,45668.97
1701,30,3.7,Bachelor's,East,0,50018.85
1702,47,3.6,Bachelor's,West,0,48374.04
1703,40,5.4,Master's,East,0,59786.45
1704,36,0.5,Bachelor's,East,0,37407.7
1705,44,4.5,Master's,East,0,60294.63
1706,41,4.2,Master's,North,1,71633.41
1707,36,2.7,High School,West,0,40159.08
1708,47,3.7,High School,South,1,50429.53
1709,49,5.1,Bachelor's,North,1,62390.61
1710,47,4.7,Bachelor's,West,0,56917.96
1711,46,0.7,Bachelor's,East,1,52459.11
1712,34,4.6,Bachelor's,East,0,52284.4
1713,30,2.9,Bachelor's,South,0,46432.36
1714,46,3.1,Bachelor's,South,1,59163.6
1715,47,3.1,High School,West,1,47097.44
1716,33,2.7,Master's,West,1,67206.24
1717,25,5.4,High School,South,0,40770.95
1718,36,2.8,Master's,West,1,61440.41
1719,35,0.8,High School,South,0,35338.25
1720,18,2.2,Master's,East,0,45974.41
1721,31,3.4,High School,South,1,42207.13
1722,36,5.5,High School,North,1,56690.68
1723,32,4.2,High School,South,0,34136.28
1724,35,1.3,Bachelor's,South,1,45402.77
1725,19,8.0,Master's,North,1,82694.11
1726,39,3.5,Bachelor's,North,1,57564.73
1727,45,5.6,Master's,North,1,78079.78
1728,34,2.7,Bachelor's,North,1,50065.64
1729,35,4.1,Bachelor's,South,0,49730.39
1730,47,4.7,Master's,West,0,61034.73
1731,23,5.4,High School,North,1,50456.59
1732,36,5.1,High School,East,1,60503.02
1733,48,4.7,Master's,South,1,71786.58
1734,21,2.4,Master's,West,0,44063.04
1735,18,1.9,Master's,East,1,60380.81
1736,25,3.7,Master's,South,1,67925.43
1737,46,4.9,High School,South,0,41648.49
1738,40,2.6,Master's,East,0,45264.35
1739,24,5.1,Bachelor's,North,1,64783.33
1740,20,5.9,Master's,North,1,83771.92
1741,49,1.2,Bachelor's,East,1,49567.15
1742,27,1.3,Bachelor's,West,1,59824.68
1743,27,2.7,Bachelor's,North,1,52396.31
1744,36,3.6,High School,South,0,41923.4
1745,31,2.0,High School,South,0,39710.21
1746,19,5.7,Master's,West,1,72071.15
1747,45,3.8,Master's,South,1,65055.72
1748,18,3.1,High School,North,0,42867.32
1749,40,0.1,Bachelor's,West,1,57841.82
1750,40,0.4,Bachelor's,North,0,40608.04
1751,45,3.6,Bachelor's,West,0,46105.75
1752,49,0.0,High School,East,0,29051.24
1753,35,5.0,Master's,South,1,82674.36
1754,24,2.7,Bachelor's,West,0,46725.61
1755,46,9.5,Bachelor's,East,1,73486.49
1756,25,7.6,Bachelor's,North,0,55122.16
1757,18,2.6,High School,East,0,28781.8
1758,42,2.8,Bachelor's,North,0,48179.9
1759,40,5.0,High School,West,0,48246.7
1760,20,6.4,High School,West,0,47235.55
1761,41,0.0,Bachelor's,South,0,37925.15
1762,40,0.0,Master's,South,0,39147.69
1763,44,1.8,Bachelor's,West,0,43932.43
1764,48,4.2,High School,North,1,54903.9
1765,46,4.0,Bachelor's,North,0,47305.42
1766,25,5.1,Master's,West,1,78870.89
1767,39,0.6,Bachelor's,North,0,35616.28
1768,42,0.0,Master's,West,0,46417.38
1769,32,4.7,Bachelor's,South,1,66389.67
1770,22,1.3,Bachelor's,North,0,41644.37
1771,20,0.0,High School,South,0,29057.62
1772,36,3.3,High School,East,0,32726.05
1773,18,4.6,High School,South,0,50545.76
1774,45,2.8,Bachelor's,East,0,45418.19
1775,32,2.1,Master's,South,1,63939.74
1776,25,2.7,Master's,South,0,56407.43
1777,19,2.3,High School,North,1,43635.01
1778,20,0.3,High School,South,1,39924.07
1779,49,1.6,High School,West,1,51384.33
1780,41,4.0,High School,North,1,46541.69
1781,31,3.6,Bachelor's,North,1,69569.66
1782,49,3.3,Master's,North,0,51283.99
1783,41,1.0,Master's,South,0,42131.52
1784,31,2.6,Bachelor's,North,0,46572.53
1785,28,0.0,Master's,East,1,66041.74
1786,33,3.4,Bachelor's,East,1,48516.03
1787,21,5.9,High School,South,0,46868.07
1788,37,0.1,Bachelor's,North,1,50536.53
1789,22,1.8,Bachelor's,West,0,43652.68
1790,39,3.7,Bachelor's,West,0,50884.25
1791,38,5.5,High School,East,0,42926.89
1792,31,2.1,High School,South,0,33312.04
1793,48,1.6,High School,South,0,34104.38
1794,40,0.0,Master's,South,1,49350.56
1795,33,3.2,Bachelor's,South,1,57397.2
1796,35,7.1,Bachelor's,South,0,57308.73
1797,24,3.6,Bachelor's,North,0,46313.92
1798,27,3.0,High School,North,1,50468.86
1799,24,3.6,Bachelor's,North,0,39829.2
1800,18,3.0,Master's,West,1,62788.0
1801,40,1.4,Bachelor's,North,1,63708.68
1802,38,4.6,Master's,South,1,63509.13
1803,36,3.5,High School,South,0,46782.07
1804,33,3.0,High School,West,0,39378.96
1805,46,1.0,Master's,West,1,55133.01
1806,36,5.6,Master's,East,1,65217.84
